isFraud,TransactionDT,TransactionAmt,D1,D2,D3,card1,card2,card3,addr1,addr2,V104,V105,V106
0,86506,50.0,0.0,,,4497,514.0,150.0,420.0,87.0,0.0,0.0,0.0
0,86761,39.0,0.0,,,7875,314.0,150.0,299.0,87.0,0.0,0.0,0.0
0,86821,73.95,66.0,66.0,35.0,10112,360.0,150.0,264.0,87.0,0.0,0.0,0.0
0,87135,107.95,245.0,245.0,245.0,17359,555.0,150.0,469.0,87.0,0.0,0.0,0.0
0,87557,35.95,0.0,,,9785,343.0,150.0,485.0,87.0,0.0,0.0,0.0
0,87611,250.0,238.0,32.0,0.0,3278,453.0,150.0,122.0,87.0,0.0,0.0,0.0
0,87856,60.0,0.0,,,7207,111.0,150.0,204.0,87.0,0.0,0.0,0.0
0,87924,411.95,0.0,,,14695,396.0,150.0,315.0,87.0,0.0,0.0,0.0
0,88053,107.0,57.0,57.0,56.0,14165,111.0,150.0,181.0,87.0,0.0,0.0,0.0
0,88149,159.0,40.0,40.0,9.0,6459,100.0,150.0,325.0,87.0,0.0,0.0,0.0
0,88380,1153.95,0.0,,,1214,523.0,150.0,337.0,87.0,0.0,0.0,0.0
0,88471,11.782,0.0,0.0,0.0,15885,545.0,185.0,,,0.0,0.0,0.0
0,88589,57.95,0.0,,,4106,543.0,150.0,315.0,87.0,0.0,0.0,0.0
0,88619,70.933,0.0,0.0,0.0,13329,569.0,117.0,,,0.0,0.0,0.0
0,88880,117.0,0.0,,,12695,490.0,150.0,330.0,87.0,0.0,0.0,0.0
0,88997,30.0,453.0,453.0,11.0,14025,479.0,150.0,143.0,87.0,0.0,0.0,0.0
0,89169,100.0,0.0,,,6019,583.0,150.0,325.0,87.0,0.0,0.0,0.0
0,89211,34.0,0.0,,,3570,512.0,150.0,299.0,87.0,0.0,0.0,0.0
0,89699,2547.46,0.0,,,11106,100.0,150.0,204.0,87.0,0.0,0.0,0.0
0,89719,47.95,0.0,,,5254,414.0,143.0,330.0,87.0,0.0,0.0,0.0
0,89793,39.0,0.0,,,6621,555.0,150.0,492.0,87.0,0.0,0.0,0.0
0,89924,15.0,0.0,,,14637,480.0,150.0,387.0,87.0,0.0,0.0,0.0
0,89948,54.0,83.0,83.0,82.0,2616,,150.0,337.0,87.0,0.0,0.0,0.0
0,90149,30.0,0.0,,,10023,111.0,150.0,325.0,87.0,0.0,0.0,0.0
1,90295,37.098,0.0,,,13413,103.0,185.0,,,0.0,0.0,0.0
0,90299,50.0,0.0,,0.0,17400,174.0,150.0,269.0,87.0,1.0,1.0,1.0
0,90308,58.95,0.0,,,15757,322.0,150.0,310.0,87.0,0.0,0.0,0.0
0,90365,100.0,10.0,10.0,0.0,10057,225.0,150.0,315.0,87.0,1.0,1.0,1.0
0,90478,48.638000000000005,0.0,0.0,0.0,2115,415.0,185.0,,,0.0,0.0,0.0
0,90608,30.95,127.0,127.0,10.0,12839,321.0,150.0,264.0,87.0,0.0,0.0,0.0
0,90887,18.73,0.0,,,7698,545.0,185.0,,,0.0,0.0,0.0
0,91339,25.95,0.0,,,1974,111.0,150.0,494.0,87.0,0.0,0.0,0.0
0,91610,107.95,0.0,,,9440,543.0,150.0,253.0,87.0,0.0,0.0,0.0
0,91691,160.5,0.0,,,2392,360.0,150.0,472.0,87.0,0.0,0.0,0.0
0,91724,105.95,0.0,,,15232,555.0,150.0,315.0,87.0,0.0,0.0,0.0
0,92000,711.93,0.0,,,9561,242.0,150.0,433.0,87.0,0.0,0.0,0.0
0,92117,26.947,0.0,,,10568,204.0,185.0,,,0.0,0.0,0.0
0,92174,209.95,0.0,,,9112,250.0,150.0,441.0,87.0,0.0,0.0,0.0
0,92320,20.0,17.0,17.0,,16347,225.0,150.0,330.0,87.0,0.0,0.0,0.0
0,92398,30.95,17.0,17.0,8.0,1832,480.0,150.0,191.0,87.0,0.0,0.0,0.0
0,92984,311.95,479.0,479.0,31.0,7585,553.0,150.0,204.0,87.0,0.0,0.0,0.0
0,93012,500.0,0.0,,0.0,6741,583.0,150.0,325.0,87.0,1.0,1.0,1.0
0,93055,210.95,9.0,9.0,8.0,17188,321.0,150.0,299.0,87.0,0.0,0.0,0.0
0,93358,107.95,305.0,305.0,44.0,17188,321.0,150.0,299.0,87.0,0.0,0.0,0.0
0,93441,1472.47,92.0,92.0,58.0,3278,453.0,150.0,272.0,87.0,0.0,0.0,0.0
0,93525,100.0,10.0,10.0,9.0,15773,226.0,150.0,325.0,87.0,0.0,0.0,0.0
0,93811,3162.95,0.0,,,1893,514.0,150.0,441.0,87.0,0.0,0.0,0.0
0,94026,59.0,0.0,,,11157,215.0,150.0,204.0,87.0,0.0,0.0,0.0
0,94057,3162.95,0.0,0.0,0.0,1893,514.0,150.0,441.0,87.0,0.0,0.0,0.0
0,94079,88.0,484.0,484.0,332.0,14858,558.0,150.0,272.0,87.0,0.0,0.0,0.0
0,94258,58.95,84.0,84.0,0.0,10960,567.0,150.0,191.0,87.0,0.0,0.0,0.0
0,94511,57.95,352.0,352.0,77.0,12839,321.0,150.0,264.0,87.0,0.0,0.0,0.0
0,94581,25.0,0.0,,,16873,343.0,150.0,315.0,87.0,0.0,0.0,0.0
0,94642,59.0,0.0,,,12598,111.0,150.0,299.0,87.0,0.0,0.0,0.0
0,94851,100.0,88.0,88.0,59.0,7377,555.0,150.0,204.0,87.0,0.0,0.0,0.0
0,94861,9.425,0.0,,,5812,408.0,185.0,,,0.0,0.0,0.0
0,95104,3000.0,0.0,,0.0,2616,,150.0,330.0,87.0,0.0,0.0,0.0
0,95191,107.95,51.0,51.0,51.0,13809,583.0,150.0,325.0,87.0,0.0,0.0,0.0
0,95853,58.95,0.0,,,7508,321.0,150.0,310.0,87.0,0.0,0.0,0.0
